hospital_id,hospital_name,city,state,health_system,ownership_type,beds,condition,payment_year,readmission_rate_pct,national_avg_rate_pct,excess_readmission_ratio,penalty_pct,estimated_penalty_dollars
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,AMI,2021,14.96,14.9,1.004,0.02,252
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,AMI,2022,16.1,14.7,1.0952,0.476,5998
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,AMI,2023,16.86,14.5,1.1628,0.814,10256
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Heart Failure,2021,23.15,22.1,1.0475,0.238,2999
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Heart Failure,2022,22.94,21.8,1.0523,0.262,3301
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Heart Failure,2023,22.99,21.5,1.0693,0.346,4360
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Pneumonia,2021,16.0,16.4,0.9756,0.0,0
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Pneumonia,2022,18.11,16.2,1.1179,0.589,7421
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Pneumonia,2023,16.27,16.0,1.0169,0.084,1058
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,COPD,2021,20.05,20.0,1.0025,0.012,151
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,COPD,2022,20.06,19.8,1.0131,0.065,819
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,COPD,2023,21.66,19.5,1.1108,0.554,6980
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Hip/Knee Replacement,2021,4.88,4.8,1.0167,0.083,1046
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Hip/Knee Replacement,2022,5.33,4.6,1.1587,0.794,10004
TX001,Riverside Medical Center - Houston,Houston,TX,Riverside Health System,For-Profit,450,Hip/Knee Replacement,2023,7.23,4.5,1.6067,3.0,37800
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,AMI,2021,14.95,14.9,1.0034,0.017,152
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,AMI,2022,14.88,14.7,1.0122,0.061,547
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,AMI,2023,17.38,14.5,1.1986,0.993,8897
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Heart Failure,2021,23.28,22.1,1.0534,0.267,2392
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Heart Failure,2022,23.86,21.8,1.0945,0.473,4238
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Heart Failure,2023,24.03,21.5,1.1177,0.588,5268
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Pneumonia,2021,16.31,16.4,0.9945,0.0,0
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Pneumonia,2022,18.23,16.2,1.1253,0.626,5609
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Pneumonia,2023,17.78,16.0,1.1113,0.556,4982
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,COPD,2021,20.64,20.0,1.032,0.16,1434
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,COPD,2022,20.01,19.8,1.0106,0.053,475
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,COPD,2023,21.08,19.5,1.081,0.405,3629
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Hip/Knee Replacement,2021,5.66,4.8,1.1792,0.896,8028
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Hip/Knee Replacement,2022,6.24,4.6,1.3565,1.783,15976
TX002,Riverside Regional - Dallas,Dallas,TX,Riverside Health System,For-Profit,320,Hip/Knee Replacement,2023,6.63,4.5,1.4733,2.367,21208
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,AMI,2021,16.39,14.9,1.1,0.5,2940
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,AMI,2022,15.74,14.7,1.0707,0.353,2076
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,AMI,2023,14.93,14.5,1.0297,0.149,876
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Heart Failure,2021,23.01,22.1,1.0412,0.206,1211
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Heart Failure,2022,21.17,21.8,0.9711,0.0,0
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Heart Failure,2023,22.25,21.5,1.0349,0.174,1023
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Pneumonia,2021,16.55,16.4,1.0091,0.046,270
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Pneumonia,2022,17.74,16.2,1.0951,0.475,2793
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Pneumonia,2023,18.52,16.0,1.1575,0.787,4628
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,COPD,2021,20.27,20.0,1.0135,0.068,400
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,COPD,2022,21.18,19.8,1.0697,0.349,2052
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,COPD,2023,20.56,19.5,1.0544,0.272,1599
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Hip/Knee Replacement,2021,7.21,4.8,1.5021,2.51,14759
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Hip/Knee Replacement,2022,5.49,4.6,1.1935,0.968,5692
TX003,Riverside Community - Austin,Austin,TX,Riverside Health System,For-Profit,210,Hip/Knee Replacement,2023,6.48,4.5,1.44,2.2,12936
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,AMI,2021,14.71,14.9,0.9872,0.0,0
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,AMI,2022,15.6,14.7,1.0612,0.306,3256
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,AMI,2023,14.63,14.5,1.009,0.045,479
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Heart Failure,2021,22.24,22.1,1.0063,0.031,330
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Heart Failure,2022,21.5,21.8,0.9862,0.0,0
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Heart Failure,2023,21.2,21.5,0.986,0.0,0
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Pneumonia,2021,16.55,16.4,1.0091,0.046,489
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Pneumonia,2022,16.17,16.2,0.9981,0.0,0
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Pneumonia,2023,16.08,16.0,1.005,0.025,266
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,COPD,2021,19.53,20.0,0.9765,0.0,0
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,COPD,2022,20.65,19.8,1.0429,0.214,2277
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,COPD,2023,19.93,19.5,1.0221,0.111,1181
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Hip/Knee Replacement,2021,6.14,4.8,1.2792,1.396,14853
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Hip/Knee Replacement,2022,5.12,4.6,1.113,0.565,6012
TX004,Memorial Hermann Southeast,Houston,TX,Memorial Hermann,Non-Profit,380,Hip/Knee Replacement,2023,4.69,4.5,1.0422,0.211,2245
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,AMI,2021,14.86,14.9,0.9973,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,AMI,2022,15.51,14.7,1.0551,0.275,2233
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,AMI,2023,14.56,14.5,1.0041,0.02,162
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Heart Failure,2021,21.36,22.1,0.9665,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Heart Failure,2022,21.19,21.8,0.972,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Heart Failure,2023,19.8,21.5,0.9209,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Pneumonia,2021,17.49,16.4,1.0665,0.333,2704
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Pneumonia,2022,17.37,16.2,1.0722,0.361,2931
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Pneumonia,2023,14.92,16.0,0.9325,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,COPD,2021,19.22,20.0,0.961,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,COPD,2022,19.16,19.8,0.9677,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,COPD,2023,18.99,19.5,0.9738,0.0,0
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Hip/Knee Replacement,2021,5.17,4.8,1.0771,0.385,3126
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Hip/Knee Replacement,2022,4.85,4.6,1.0543,0.272,2209
TX005,Baylor Scott & White Round Rock,Round Rock,TX,Baylor Scott & White,Non-Profit,290,Hip/Knee Replacement,2023,4.73,4.5,1.0511,0.255,2071
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,AMI,2021,15.64,14.9,1.0497,0.249,2370
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,AMI,2022,15.33,14.7,1.0429,0.214,2037
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,AMI,2023,15.23,14.5,1.0503,0.252,2399
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Heart Failure,2021,21.13,22.1,0.9561,0.0,0
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Heart Failure,2022,21.59,21.8,0.9904,0.0,0
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Heart Failure,2023,22.26,21.5,1.0353,0.177,1685
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Pneumonia,2021,15.22,16.4,0.928,0.0,0
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Pneumonia,2022,17.6,16.2,1.0864,0.432,4113
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Pneumonia,2023,17.3,16.0,1.0813,0.406,3865
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,COPD,2021,20.42,20.0,1.021,0.105,1000
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,COPD,2022,20.39,19.8,1.0298,0.149,1418
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,COPD,2023,19.55,19.5,1.0026,0.013,124
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Hip/Knee Replacement,2021,6.13,4.8,1.2771,1.385,13185
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Hip/Knee Replacement,2022,5.43,4.6,1.1804,0.902,8587
TX006,HCA Houston Healthcare West,Houston,TX,HCA Healthcare,For-Profit,340,Hip/Knee Replacement,2023,4.96,4.5,1.1022,0.511,4865
TX007,Methodist Hospital San Antonio,San Antonio,TX,Methodist Health,Non-Profit,420,AMI,2021,13.7,14.9,0.9195,0.0,0
TX007,Methodist Hospital San Antonio,San Antonio,TX,Methodist Health,Non-Profit,420,AMI,2022,15.58,14.7,1.0599,0.3,3528
TX007,Methodist Hospital San Antonio,San Antonio,TX,Methodist Health,Non-Profit,420,AMI,2023,13.83,14.5,0.9538,0.0,0
TX007,Methodist Hospital San Antonio,San Antonio,TX,Methodist Health,Non-Profit,420,Heart Failure,2021,22.59,22.1,1.0222,0.111,1305
TX007,Methodist Hospital San Antonio,San Antonio,TX,Methodist Health,Non-Profit,420,Heart Failure,2022,21.56,21.8,0.989,0.0,0
